StockCode,text,description,category,seasonality,gifting,perishability,price_tier,impulse,substitute_group
21733,Red heart-shaped hanging tealight holder Category: home_decor. Seasonality: valentine. Gifting: high. Price tier: mid. Impulse: high. Substitute group: tlight_holder.,Red heart-shaped hanging tealight holder,home_decor,valentine,high,durable,mid,high,tlight_holder
84946,Antique silver etched tea glass Category: kitchenware. Seasonality: none. Gifting: medium. Price tier: budget. Impulse: high. Substitute group: tea_glass.,Antique silver etched tea glass,kitchenware,none,medium,durable,budget,high,tea_glass
22469,Small woven wicker heart decoration for hanging Category: home_decor. Seasonality: valentine. Gifting: high. Price tier: budget. Impulse: high. Substitute group: wicker_heart.,Small woven wicker heart decoration for hanging,home_decor,valentine,high,durable,budget,high,wicker_heart
21181,Novelty metal sign reading Please One Person Category: home_decor. Seasonality: none. Gifting: medium. Price tier: budget. Impulse: high. Substitute group: metal_sign.,Novelty metal sign reading Please One Person,home_decor,none,medium,durable,budget,high,metal_sign
21232,Strawberry-themed ceramic trinket box Category: home_decor. Seasonality: none. Gifting: medium. Price tier: budget. Impulse: high. Substitute group: trinket_box.,Strawberry-themed ceramic trinket box,home_decor,none,medium,durable,budget,high,trinket_box
22090,Retrospot polka-dot paper bunting decoration Category: party. Seasonality: none. Gifting: low. Price tier: mid. Impulse: medium. Substitute group: bunting.,Retrospot polka-dot paper bunting decoration,party,none,low,semi_durable,mid,medium,bunting
21929,Large reusable jumbo bag in pink vintage paisley print Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: jumbo_bag.,Large reusable jumbo bag in pink vintage paisley print,bags,none,low,durable,budget,high,jumbo_bag
48194,Coir doormat with hearts design Category: home_decor. Seasonality: valentine. Gifting: medium. Price tier: mid. Impulse: low. Substitute group: doormat.,Coir doormat with hearts design,home_decor,valentine,medium,durable,mid,low,doormat
21731,Red toadstool-shaped LED night light Category: lighting. Seasonality: none. Gifting: high. Price tier: budget. Impulse: high. Substitute group: night_light.,Red toadstool-shaped LED night light,lighting,none,high,durable,budget,high,night_light
22457,Natural slate heart-shaped chalkboard Category: home_decor. Seasonality: valentine. Gifting: medium. Price tier: mid. Impulse: medium. Substitute group: chalkboard.,Natural slate heart-shaped chalkboard,home_decor,valentine,medium,durable,mid,medium,chalkboard
15056BL,Black Edwardian-style parasol sun umbrella Category: accessories. Seasonality: spring_summer. Gifting: medium. Price tier: mid. Impulse: low. Substitute group: parasol.,Black Edwardian-style parasol sun umbrella,accessories,spring_summer,medium,durable,mid,low,parasol
21754,Wooden building blocks spelling the word HOME Category: home_decor. Seasonality: none. Gifting: high. Price tier: mid. Impulse: low. Substitute group: block_word.,Wooden building blocks spelling the word HOME,home_decor,none,high,durable,mid,low,block_word
84029E,Hot water bottle with red woolly cover and white heart Category: home_comfort. Seasonality: valentine. Gifting: high. Price tier: mid. Impulse: medium. Substitute group: hot_water_bottle.,Hot water bottle with red woolly cover and white heart,home_comfort,valentine,high,durable,mid,medium,hot_water_bottle
48187,Coir doormat in New England design Category: home_decor. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: low. Substitute group: doormat.,Coir doormat in New England design,home_decor,none,medium,durable,mid,low,doormat
21523,Coir doormat with fancy font Home Sweet Home text Category: home_decor. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: low. Substitute group: doormat.,Coir doormat with fancy font Home Sweet Home text,home_decor,none,medium,durable,mid,low,doormat
21928,Large reusable jumbo bag in Scandinavian paisley print Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: jumbo_bag.,Large reusable jumbo bag in Scandinavian paisley print,bags,none,low,durable,budget,high,jumbo_bag
22355,Lightweight folding charlotte shopping bag in Suki design Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: charlotte_bag.,Lightweight folding charlotte shopping bag in Suki design,bags,none,low,durable,budget,high,charlotte_bag
71477,Coloured glass star-shaped tealight holder Category: home_decor. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: high. Substitute group: tlight_holder.,Coloured glass star-shaped tealight holder,home_decor,none,medium,durable,mid,high,tlight_holder
20727,Insulated lunch bag in black skull design Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: lunch_bag.,Insulated lunch bag in black skull design,bags,none,low,durable,budget,high,lunch_bag
48185,Coir doormat with fairy cake design Category: home_decor. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: low. Substitute group: doormat.,Coir doormat with fairy cake design,home_decor,none,medium,durable,mid,low,doormat
22138,Nine-piece children's baking set in retrospot design Category: baking. Seasonality: none. Gifting: high. Price tier: mid. Impulse: low. Substitute group: baking_set.,Nine-piece children's baking set in retrospot design,baking,none,high,durable,mid,low,baking_set
22326,Set of four round wooden-look snack boxes in woodland design Category: kitchenware. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: medium. Substitute group: snack_boxes.,Set of four round wooden-look snack boxes in woodland design,kitchenware,none,medium,durable,mid,medium,snack_boxes
21915,Red toy harmonica in a presentation box Category: toys. Seasonality: none. Gifting: medium. Price tier: budget. Impulse: high. Substitute group: toy_instrument.,Red toy harmonica in a presentation box,toys,none,medium,durable,budget,high,toy_instrument
82494L,Antique white wooden picture frame Category: home_decor. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: medium. Substitute group: frame.,Antique white wooden picture frame,home_decor,none,medium,durable,mid,medium,frame
21175,Novelty metal sign reading Gin and Tonic Diet Category: home_decor. Seasonality: none. Gifting: medium. Price tier: budget. Impulse: high. Substitute group: metal_sign.,Novelty metal sign reading Gin and Tonic Diet,home_decor,none,medium,durable,budget,high,metal_sign
22383,Insulated lunch bag in Suki floral design Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: lunch_bag.,Insulated lunch bag in Suki floral design,bags,none,low,durable,budget,high,lunch_bag
84078A,Set of four white retro storage cubes for the home Category: home_storage. Seasonality: none. Gifting: low. Price tier: premium. Impulse: low. Substitute group: storage_cubes.,Set of four white retro storage cubes for the home,home_storage,none,low,durable,premium,low,storage_cubes
23298,Spotty polka-dot fabric party bunting Category: party. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: medium. Substitute group: bunting.,Spotty polka-dot fabric party bunting,party,none,medium,durable,mid,medium,bunting
20728,Insulated lunch bag in blue cars design for children Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: lunch_bag.,Insulated lunch bag in blue cars design for children,bags,none,low,durable,budget,high,lunch_bag
82482,White-finish wooden picture frame Category: home_decor. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: medium. Substitute group: frame.,White-finish wooden picture frame,home_decor,none,medium,durable,mid,medium,frame
23203,Large reusable jumbo bag in vintage doily print Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: jumbo_bag.,Large reusable jumbo bag in vintage doily print,bags,none,low,durable,budget,high,jumbo_bag
20713,Large reusable jumbo bag in owls design Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: jumbo_bag.,Large reusable jumbo bag in owls design,bags,none,low,durable,budget,high,jumbo_bag
22083,Make-your-own paper chain decoration kit in retrospot design Category: party. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: medium. Substitute group: paper_chain_kit.,Make-your-own paper chain decoration kit in retrospot design,party,none,medium,semi_durable,mid,medium,paper_chain_kit
22328,Set of four round snack boxes in fruits design Category: kitchenware. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: medium. Substitute group: snack_boxes.,Set of four round snack boxes in fruits design,kitchenware,none,medium,durable,mid,medium,snack_boxes
84997D,Pink three-piece children's mini polka-dot cutlery set Category: kitchenware. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: medium. Substitute group: cutlery_set.,Pink three-piece children's mini polka-dot cutlery set,kitchenware,none,medium,durable,mid,medium,cutlery_set
22960,Jam-making set with glass jars and accessories Category: kitchenware. Seasonality: none. Gifting: high. Price tier: mid. Impulse: low. Substitute group: jam_making_set.,Jam-making set with glass jars and accessories,kitchenware,none,high,durable,mid,low,jam_making_set
85066,Cream sweetheart-style mini chest of drawers Category: home_storage. Seasonality: none. Gifting: high. Price tier: premium. Impulse: low. Substitute group: mini_chest.,Cream sweetheart-style mini chest of drawers,home_storage,none,high,durable,premium,low,mini_chest
82486,Set of three antique white wooden cabinets Category: home_storage. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: low. Substitute group: cabinet.,Set of three antique white wooden cabinets,home_storage,none,medium,durable,mid,low,cabinet
22699,Roses Regency-style ceramic teacup and saucer Category: kitchenware. Seasonality: none. Gifting: high. Price tier: mid. Impulse: medium. Substitute group: teacup_saucer.,Roses Regency-style ceramic teacup and saucer,kitchenware,none,high,durable,mid,medium,teacup_saucer
20726,Insulated lunch bag in woodland design Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: lunch_bag.,Insulated lunch bag in woodland design,bags,none,low,durable,budget,high,lunch_bag
21485,Hot water bottle with retrospot heart cover Category: home_comfort. Seasonality: valentine. Gifting: high. Price tier: mid. Impulse: medium. Substitute group: hot_water_bottle.,Hot water bottle with retrospot heart cover,home_comfort,valentine,high,durable,mid,medium,hot_water_bottle
22629,Children's Spaceboy-design lunch box Category: kitchenware. Seasonality: none. Gifting: medium. Price tier: budget. Impulse: high. Substitute group: lunch_box.,Children's Spaceboy-design lunch box,kitchenware,none,medium,durable,budget,high,lunch_box
21166,Novelty metal sign reading Cook With Wine Category: home_decor. Seasonality: none. Gifting: medium. Price tier: budget. Impulse: high. Substitute group: metal_sign.,Novelty metal sign reading Cook With Wine,home_decor,none,medium,durable,budget,high,metal_sign
23284,Coir doormat reading Keep Calm and Come In Category: home_decor. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: low. Substitute group: doormat.,Coir doormat reading Keep Calm and Come In,home_decor,none,medium,durable,mid,low,doormat
22720,Set of three nesting cake tins in pantry design Category: kitchenware. Seasonality: none. Gifting: high. Price tier: mid. Impulse: low. Substitute group: cake_tins.,Set of three nesting cake tins in pantry design,kitchenware,none,high,durable,mid,low,cake_tins
20712,Large reusable jumbo bag in woodland animals design Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: jumbo_bag.,Large reusable jumbo bag in woodland animals design,bags,none,low,durable,budget,high,jumbo_bag
22727,Red Bakelite-style retro alarm clock Category: home_decor. Seasonality: none. Gifting: high. Price tier: mid. Impulse: medium. Substitute group: alarm_clock.,Red Bakelite-style retro alarm clock,home_decor,none,high,durable,mid,medium,alarm_clock
21524,Coir doormat with spotty Home Sweet Home design Category: home_decor. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: low. Substitute group: doormat.,Coir doormat with spotty Home Sweet Home design,home_decor,none,medium,durable,mid,low,doormat
21755,Wooden building blocks spelling the word LOVE Category: home_decor. Seasonality: valentine. Gifting: high. Price tier: mid. Impulse: low. Substitute group: block_word.,Wooden building blocks spelling the word LOVE,home_decor,valentine,high,durable,mid,low,block_word
20724,Folding charlotte shopping bag in red retrospot print Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: charlotte_bag.,Folding charlotte shopping bag in red retrospot print,bags,none,low,durable,budget,high,charlotte_bag
22379,Reusable recycling bag in retrospot design Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: medium. Substitute group: recycling_bag.,Reusable recycling bag in retrospot design,bags,none,low,durable,budget,medium,recycling_bag
84997B,Red three-piece children's mini polka-dot cutlery set Category: kitchenware. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: medium. Substitute group: cutlery_set.,Red three-piece children's mini polka-dot cutlery set,kitchenware,none,medium,durable,mid,medium,cutlery_set
21479,Hot water bottle with white skull cover Category: home_comfort. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: medium. Substitute group: hot_water_bottle.,Hot water bottle with white skull cover,home_comfort,none,medium,durable,mid,medium,hot_water_bottle
22384,Insulated lunch bag in pink polka-dot design Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: lunch_bag.,Insulated lunch bag in pink polka-dot design,bags,none,low,durable,budget,high,lunch_bag
22666,Recipe box in yellow pantry design for storing recipe cards Category: kitchenware. Seasonality: none. Gifting: high. Price tier: mid. Impulse: medium. Substitute group: recipe_box.,Recipe box in yellow pantry design for storing recipe cards,kitchenware,none,high,durable,mid,medium,recipe_box
22382,Insulated lunch bag in Spaceboy design Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: lunch_bag.,Insulated lunch bag in Spaceboy design,bags,none,low,durable,budget,high,lunch_bag
22630,Children's Dolly Girl design lunch box Category: kitchenware. Seasonality: none. Gifting: medium. Price tier: budget. Impulse: high. Substitute group: lunch_box.,Children's Dolly Girl design lunch box,kitchenware,none,medium,durable,budget,high,lunch_box
22726,Green Bakelite-style retro alarm clock Category: home_decor. Seasonality: none. Gifting: high. Price tier: mid. Impulse: medium. Substitute group: alarm_clock.,Green Bakelite-style retro alarm clock,home_decor,none,high,durable,mid,medium,alarm_clock
22865,Reusable hand warmer with owl design Category: accessories. Seasonality: none. Gifting: medium. Price tier: budget. Impulse: high. Substitute group: hand_warmer.,Reusable hand warmer with owl design,accessories,none,medium,durable,budget,high,hand_warmer
22188,Black heart-shaped greeting card display holder Category: home_decor. Seasonality: valentine. Gifting: medium. Price tier: mid. Impulse: medium. Substitute group: card_holder.,Black heart-shaped greeting card display holder,home_decor,valentine,medium,durable,mid,medium,card_holder
15036,Assorted colour silk hand fan Category: accessories. Seasonality: spring_summer. Gifting: low. Price tier: budget. Impulse: high. Substitute group: silk_fan.,Assorted colour silk hand fan,accessories,spring_summer,low,durable,budget,high,silk_fan
84997C,Blue three-piece children's mini polka-dot cutlery set Category: kitchenware. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: medium. Substitute group: cutlery_set.,Blue three-piece children's mini polka-dot cutlery set,kitchenware,none,medium,durable,mid,medium,cutlery_set
22385,Large reusable jumbo bag in Spaceboy design Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: jumbo_bag.,Large reusable jumbo bag in Spaceboy design,bags,none,low,durable,budget,high,jumbo_bag
22077,Set of six rustic charm decorative ribbons Category: craft. Seasonality: none. Gifting: low. Price tier: budget. Impulse: medium. Substitute group: ribbon.,Set of six rustic charm decorative ribbons,craft,none,low,semi_durable,budget,medium,ribbon
22622,Box of vintage-style wooden alphabet blocks Category: toys. Seasonality: none. Gifting: high. Price tier: premium. Impulse: low. Substitute group: wooden_blocks.,Box of vintage-style wooden alphabet blocks,toys,none,high,durable,premium,low,wooden_blocks
85152,Novelty metal sign reading Hand Over The Chocolate Category: home_decor. Seasonality: none. Gifting: medium. Price tier: budget. Impulse: high. Substitute group: metal_sign.,Novelty metal sign reading Hand Over The Chocolate,home_decor,none,medium,durable,budget,high,metal_sign
84029G,Hot water bottle with knitted Union Flag cover Category: home_comfort. Seasonality: none. Gifting: high. Price tier: mid. Impulse: medium. Substitute group: hot_water_bottle.,Hot water bottle with knitted Union Flag cover,home_comfort,none,high,durable,mid,medium,hot_water_bottle
48184,Coir doormat in English rose design Category: home_decor. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: low. Substitute group: doormat.,Coir doormat in English rose design,home_decor,none,medium,durable,mid,low,doormat
22697,Green Regency-style ceramic teacup and saucer Category: kitchenware. Seasonality: none. Gifting: high. Price tier: mid. Impulse: medium. Substitute group: teacup_saucer.,Green Regency-style ceramic teacup and saucer,kitchenware,none,high,durable,mid,medium,teacup_saucer
22659,Lunch box with I Love London design Category: kitchenware. Seasonality: none. Gifting: medium. Price tier: budget. Impulse: high. Substitute group: lunch_box.,Lunch box with I Love London design,kitchenware,none,medium,durable,budget,high,lunch_box
23245,Set of three Regency-style cake tins Category: kitchenware. Seasonality: none. Gifting: high. Price tier: mid. Impulse: low. Substitute group: cake_tins.,Set of three Regency-style cake tins,kitchenware,none,high,durable,mid,low,cake_tins
85014B,Red retrospot polka-dot umbrella Category: accessories. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: medium. Substitute group: umbrella.,Red retrospot polka-dot umbrella,accessories,none,medium,durable,mid,medium,umbrella
22501,Large wicker picnic basket Category: outdoor. Seasonality: spring_summer. Gifting: high. Price tier: premium. Impulse: low. Substitute group: picnic_basket.,Large wicker picnic basket,outdoor,spring_summer,high,durable,premium,low,picnic_basket
22752,Set of seven nesting Babushka storage boxes Category: home_storage. Seasonality: none. Gifting: high. Price tier: premium. Impulse: low. Substitute group: nesting_boxes.,Set of seven nesting Babushka storage boxes,home_storage,none,high,durable,premium,low,nesting_boxes
20679,Red Edwardian-style parasol sun umbrella Category: accessories. Seasonality: spring_summer. Gifting: medium. Price tier: mid. Impulse: low. Substitute group: parasol.,Red Edwardian-style parasol sun umbrella,accessories,spring_summer,medium,durable,mid,low,parasol
22158,Three rustic hanging heart decorations Category: home_decor. Seasonality: valentine. Gifting: high. Price tier: mid. Impulse: medium. Substitute group: hanging_heart.,Three rustic hanging heart decorations,home_decor,valentine,high,durable,mid,medium,hanging_heart
21217,"Red retrospot round cake tins, nested set Category: kitchenware. Seasonality: none. Gifting: high. Price tier: premium. Impulse: low. Substitute group: cake_tins.","Red retrospot round cake tins, nested set",kitchenware,none,high,durable,premium,low,cake_tins
23199,Large reusable jumbo bag in apples design Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: jumbo_bag.,Large reusable jumbo bag in apples design,bags,none,low,durable,budget,high,jumbo_bag
22866,Reusable hand warmer with Scotty dog design Category: accessories. Seasonality: none. Gifting: medium. Price tier: budget. Impulse: high. Substitute group: hand_warmer.,Reusable hand warmer with Scotty dog design,accessories,none,medium,durable,budget,high,hand_warmer
82483,White-finish wooden two-drawer cabinet Category: home_storage. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: low. Substitute group: cabinet.,White-finish wooden two-drawer cabinet,home_storage,none,medium,durable,mid,low,cabinet
47590B,Pink Happy Birthday party bunting Category: party. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: medium. Substitute group: bunting.,Pink Happy Birthday party bunting,party,none,medium,durable,mid,medium,bunting
22867,Reusable hand warmer with bird design Category: accessories. Seasonality: none. Gifting: medium. Price tier: budget. Impulse: high. Substitute group: hand_warmer.,Reusable hand warmer with bird design,accessories,none,medium,durable,budget,high,hand_warmer
22467,Gumball-machine style coat rack Category: home_decor. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: low. Substitute group: coat_rack.,Gumball-machine style coat rack,home_decor,none,medium,durable,mid,low,coat_rack
22492,Mini vintage-style paint set Category: craft. Seasonality: none. Gifting: medium. Price tier: budget. Impulse: high. Substitute group: paint_set.,Mini vintage-style paint set,craft,none,medium,semi_durable,budget,high,paint_set
20971,Pink and blue felt craft trinket box Category: home_decor. Seasonality: none. Gifting: medium. Price tier: budget. Impulse: high. Substitute group: trinket_box.,Pink and blue felt craft trinket box,home_decor,none,medium,durable,budget,high,trinket_box
