StockCode,real_description,median_price,total_qty,total_revenue,n_invoices,first_seen,last_seen
21755,LOVE BUILDING BLOCK WORD,5.95,5774,35641.990000000005,1696,2009-12-01 09:06:00,2011-12-09 12:00:00
20724,RED RETROSPOT CHARLOTTE BAG,0.85,32487,35595.63,2035,2009-12-01 10:06:00,2011-12-09 10:23:00
22379,RECYCLING BAG RETROSPOT,2.1,16075,35408.96,1570,2010-01-25 13:46:00,2011-12-09 10:26:00
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,3.75,9388,34987.06,1019,2009-12-01 11:34:00,2011-12-09 12:16:00
21479,WHITE SKULL HOT WATER BOTTLE,3.75,6872,34617.93,930,2009-12-01 11:17:00,2011-12-09 11:56:00
22384,LUNCH BAG PINK POLKADOT,1.65,21037,34506.659999999996,2106,2010-01-25 11:18:00,2011-12-09 10:26:00
22666,RECIPE BOX PANTRY YELLOW DESIGN,2.95,10951,34489.05,1657,2010-07-09 17:17:00,2011-12-09 10:26:00
22382,LUNCH BAG SPACEBOY DESIGN,1.65,20458,34436.39,2153,2010-01-22 16:28:00,2011-12-08 16:30:00
22630,DOLLY GIRL LUNCH BOX,1.95,18363,33980.0,1333,2010-07-01 16:48:00,2011-12-09 10:03:00
22726,ALARM CLOCK BAKELIKE GREEN,3.75,7954,33737.59,1273,2010-09-24 10:29:00,2011-12-09 12:50:00
22865,HAND WARMER OWL DESIGN,2.1,15557,33575.51,1212,2010-09-10 13:59:00,2011-12-09 10:26:00
22188,BLACK HEART CARD HOLDER,3.95,12484,33201.0,566,2009-12-14 17:57:00,2011-12-08 18:43:00
15036,ASSORTED COLOURS SILK FAN,0.83,44365,33041.55,991,2009-12-01 16:05:00,2011-12-09 10:03:00
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,3.75,8865,32992.01,951,2009-12-01 10:59:00,2011-12-09 12:16:00
22385,JUMBO BAG SPACEBOY DESIGN,1.95,17227,32749.37,1248,2010-01-29 13:46:00,2011-12-08 16:30:00
22077,6 RIBBONS RUSTIC CHARM,1.65,17569,32213.589999999997,1751,2009-12-01 11:45:00,2011-12-09 12:09:00
22622,BOX OF VINTAGE ALPHABET BLOCKS,9.95,3242,32163.94,571,2010-05-07 10:44:00,2011-12-09 12:16:00
85152,HAND OVER THE CHOCOLATE   SIGN,2.1,16645,32064.760000000002,1460,2009-12-01 11:37:00,2011-12-09 10:03:00
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3.75,7343,32054.49,1009,2009-12-01 11:45:00,2011-12-09 11:26:00
48184,DOORMAT ENGLISH ROSE,7.95,4777,31603.65,851,2009-12-01 12:14:00,2011-12-08 19:29:00
22697,GREEN REGENCY TEACUP AND SAUCER,2.95,10112,31534.920000000002,1353,2010-08-11 15:46:00,2011-12-09 10:26:00
22659,LUNCH BOX I LOVE LONDON,1.95,16869,31203.02,1075,2010-03-14 12:18:00,2011-12-09 10:26:00
23245,SET OF 3 REGENCY CAKE TINS,4.95,6357,31177.95,873,2011-06-08 12:02:00,2011-12-09 12:08:00
85014B,RED RETROSPOT UMBRELLA,5.95,6202,31123.93,900,2009-12-01 09:28:00,2011-12-09 10:03:00
22501,PICNIC BASKET WICKER LARGE,9.95,2643,30828.289999999997,762,2010-05-21 16:37:00,2011-11-06 15:01:00
22752,SET 7 BABUSHKA NESTING BOXES,8.5,3781,30804.75,692,2010-08-06 15:02:00,2011-12-08 18:22:00
20679,EDWARDIAN PARASOL RED,5.95,6259,30667.32,715,2009-12-01 17:31:00,2011-12-09 10:26:00
22158,3 HEARTS HANGING DECORATION RUSTIC,2.95,9443,30498.18,718,2009-12-03 17:46:00,2011-12-08 16:30:00
21217,RED RETROSPOT ROUND CAKE TINS,9.95,2961,30483.03,928,2009-12-01 10:06:00,2011-12-09 12:49:00
23199,JUMBO BAG APPLES,2.08,14920,30475.65,978,2011-04-11 16:47:00,2011-12-09 12:19:00
22866,HAND WARMER SCOTTY DOG DESIGN,2.1,13772,30426.54,1083,2010-09-10 13:59:00,2011-12-09 10:26:00
82483,WOOD 2 DRAWER CABINET WHITE FINISH,5.95,5103,30213.89,1123,2009-12-01 10:49:00,2011-12-08 12:10:00
47590B,PINK HAPPY BIRTHDAY BUNTING,5.45,5778,29587.43,872,2009-12-07 11:35:00,2011-12-09 10:03:00
22867,HAND WARMER BIRD DESIGN,2.1,13453,29541.020000000004,1054,2010-09-10 13:59:00,2011-12-09 10:03:00
22467,GUMBALL COAT RACK,2.55,12298,29139.100000000002,1095,2010-03-04 14:45:00,2011-12-09 10:03:00
22492,MINI PAINT SET VINTAGE,0.65,45665,29046.190000000002,732,2010-05-06 11:50:00,2011-12-08 16:29:00
20971,PINK BLUE FELT CRAFT TRINKET BOX,1.25,22629,29027.46,1148,2009-12-01 09:08:00,2011-12-09 10:03:00
23355,HOT WATER BOTTLE KEEP CALM,4.95,5841,28842.550000000003,782,2011-08-22 13:32:00,2011-12-09 11:56:00
48188,DOORMAT WELCOME PUPPIES,7.95,4892,28798.14,698,2009-12-01 12:14:00,2011-12-06 17:23:00
84978,HANGING HEART JAR T-LIGHT HOLDER,1.25,21903,28734.82,1425,2009-12-04 15:40:00,2011-12-09 10:03:00
22835,HOT WATER BOTTLE I AM SO POORLY,4.65,5566,28659.98,1011,2010-09-12 14:58:00,2011-12-09 10:23:00
82583,HOT BATHS METAL SIGN,2.1,13090,28496.81,1176,2009-12-01 14:28:00,2011-12-09 10:23:00
21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.55,56794,28490.98,1993,2009-12-01 10:46:00,2011-12-09 10:26:00
20719,WOODLAND CHARLOTTE BAG,0.85,24945,28287.32,1573,2009-12-01 11:21:00,2011-12-09 10:23:00
22961,JAM MAKING SET PRINTED,1.45,18086,28242.89,1200,2010-07-23 12:29:00,2011-12-09 10:26:00
22624,IVORY KITCHEN SCALES,8.5,3258,28227.77,1219,2010-05-04 10:02:00,2011-12-09 12:08:00
21930,JUMBO STORAGE BAG SKULLS,1.95,13657,27923.57,1321,2009-12-01 10:59:00,2011-12-09 10:26:00
72741,GRAND CHOCOLATECANDLE,1.45,20178,27915.129999999997,920,2009-12-01 11:41:00,2011-12-09 10:03:00
23201,JUMBO BAG ALPHABET,2.08,13379,27890.170000000002,906,2011-04-11 16:47:00,2011-12-09 12:19:00
20750,RED RETROSPOT MINI CASES,7.95,3777,27562.87,909,2009-12-01 12:47:00,2011-12-09 11:59:00
84991,60 TEATIME FAIRY CAKE CASES,0.55,54716,27404.22,2127,2009-12-01 10:46:00,2011-12-09 10:03:00
71459,HANGING JAM JAR T-LIGHT HOLDER,0.85,33577,27192.51,1017,2009-12-02 10:00:00,2011-12-09 10:10:00
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,2.89,9828,27061.58,756,2010-09-16 11:40:00,2011-12-09 10:51:00
21481,FAWN BLUE HOT WATER BOTTLE,2.95,8557,26988.98,1050,2009-12-01 10:52:00,2011-12-09 11:59:00
22149,FELTCRAFT 6 FLOWER FRIENDS,2.1,12922,26855.260000000002,1382,2009-12-01 14:28:00,2011-11-10 18:46:00
22507,MEMO BOARD RETROSPOT  DESIGN,4.95,5694,26626.56,900,2010-03-11 17:05:00,2011-12-09 10:26:00
48111,DOORMAT 3 SMILEY CATS,7.95,4309,26544.41,720,2009-12-01 11:45:00,2011-12-09 08:59:00
22551,PLASTERS IN TIN SPACEBOY,1.65,15779,26485.1,1299,2010-03-25 12:41:00,2011-12-09 10:13:00
82600,NO SINGING METAL SIGN,2.1,12908,26212.86,1201,2009-12-01 11:41:00,2011-12-09 10:26:00
20711,JUMBO BAG TOYS,2.015,12838,26186.9,1052,2009-12-01 09:24:00,2011-12-01 16:22:00
21080,SET/20 RED RETROSPOT PAPER NAPKINS,0.85,31823,26031.969999999998,2123,2009-12-01 12:20:00,2011-12-08 16:30:00
47566B,TEA TIME PARTY BUNTING,4.65,5838,25987.9,761,2009-12-01 11:17:00,2011-12-04 13:20:00
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,2.55,13105,25887.350000000002,613,2009-12-01 14:28:00,2011-12-09 11:26:00
21527,RED RETROSPOT TRADITIONAL TEAPOT,7.95,3429,25612.27,831,2009-12-01 11:50:00,2011-05-15 16:02:00
22087,PAPER BUNTING WHITE LACE,2.95,8532,25563.170000000002,847,2009-12-01 10:36:00,2011-12-09 10:51:00
22084,PAPER CHAIN KIT EMPIRE,2.95,8879,25480.38,811,2009-12-02 13:23:00,2011-12-08 15:01:00
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,0.65,40839,25475.050000000003,1259,2009-12-01 13:47:00,2011-12-09 10:03:00
37503,TEA TIME CAKE STAND IN GIFT BOX,10.75,2469,25471.329999999998,522,2009-12-01 12:30:00,2010-08-01 10:09:00
21314,SMALL GLASS HEART TRINKET POT,2.1,11658,25276.95,1066,2009-12-01 13:29:00,2011-12-09 12:00:00
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,0.29,110138,25259.899999999998,1019,2009-12-01 12:57:00,2011-12-09 10:03:00
20972,PINK CREAM FELT CRAFT TRINKET BOX,1.25,20761,25151.84,1397,2009-12-01 10:59:00,2011-12-09 10:03:00
23173,REGENCY TEAPOT ROSES,9.95,2770,24918.93,416,2011-05-10 10:34:00,2011-12-09 10:20:00
22728,ALARM CLOCK BAKELIKE PINK,3.75,6374,24907.27,969,2010-09-24 13:04:00,2011-12-09 12:50:00
84836,ZINC METAL HEART DECORATION,1.25,20251,24805.670000000002,1408,2009-12-01 11:41:00,2011-12-08 14:38:00
21231,SWEETHEART CERAMIC TRINKET BOX,1.25,19767,24618.13,1482,2009-12-01 10:59:00,2011-12-08 16:30:00
47590A,BLUE HAPPY BIRTHDAY BUNTING,5.45,4829,24559.230000000003,689,2009-12-02 13:06:00,2011-12-06 16:26:00
22722,SET OF 6 SPICE TINS PANTRY DESIGN,3.95,5984,24507.36,835,2010-11-11 13:24:00,2011-12-09 10:26:00
22698,PINK REGENCY TEACUP AND SAUCER,2.95,8232,24489.670000000002,1033,2010-08-11 15:46:00,2011-12-09 12:20:00
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,8.5,3202,24249.96,661,2009-12-01 14:19:00,2011-12-09 11:26:00
21258,VICTORIAN SEWING BOX LARGE,12.75,1692,24153.59,526,2009-12-01 11:21:00,2011-12-09 12:09:00
21790,VINTAGE SNAP CARDS,0.85,27942,24095.6,1888,2009-12-01 09:46:00,2011-12-09 12:20:00
22625,RED KITCHEN SCALES,8.5,2743,24045.030000000002,950,2010-05-04 12:18:00,2011-12-09 11:56:00
21955,DOORMAT UNION JACK GUNS AND ROSES,7.49,3943,24024.170000000002,729,2009-12-01 09:46:00,2011-12-09 10:26:00
21791,VINTAGE HEADS AND TAILS CARD GAME,1.25,18585,23993.23,1313,2009-12-01 11:21:00,2011-12-09 10:03:00
84406B,CREAM CUPID HEARTS COAT HANGER,3.25,7384,23820.8,841,2009-12-01 16:34:00,2011-12-05 14:30:00
23344,JUMBO BAG 50'S CHRISTMAS,2.08,10306,23815.75,716,2011-06-15 13:25:00,2011-12-09 12:19:00
22605,WOODEN CROQUET GARDEN SET,12.75,1846,23743.77,642,2010-04-08 19:40:00,2011-12-08 18:22:00
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4.95,4805,23514.170000000002,470,2011-06-08 08:12:00,2011-12-09 10:03:00
48173C,DOORMAT BLACK FLOCK,7.95,4104,23335.25,500,2009-12-01 09:06:00,2011-12-08 09:20:00
22554,PLASTERS IN TIN WOODLAND ANIMALS,1.65,13854,23329.359999999997,1275,2010-03-25 12:43:00,2011-12-09 10:13:00
22113,GREY HEART HOT WATER BOTTLE,3.75,6059,23172.82,996,2009-12-01 11:45:00,2011-12-09 12:31:00
22607,WOODEN ROUNDERS GARDEN SET,8.5,2556,23139.3,744,2010-04-08 19:40:00,2011-12-08 18:22:00
22585,PACK OF 6 BIRDY GIFT TAGS,1.25,18333,22903.920000000002,1084,2010-03-10 12:51:00,2011-12-09 12:16:00
21936,RED RETROSPOT PICNIC BAG,2.95,7833,22847.59,1046,2009-12-02 14:36:00,2011-12-09 10:03:00
20749,ASSORTED COLOUR MINI CASES,7.95,3156,22806.51,766,2009-12-01 09:28:00,2011-12-09 09:38:00
37449,CERAMIC CAKE STAND + HANGING CAKES,9.95,2418,22702.46,477,2009-12-01 11:21:00,2011-12-07 14:34:00
22556,PLASTERS IN TIN CIRCUS PARADE,1.65,13797,22694.129999999997,1196,2010-03-25 12:12:00,2011-12-09 12:50:00
22941,CHRISTMAS LIGHTS 10 REINDEER,8.5,2710,22645.32,483,2010-10-21 10:47:00,2011-12-09 12:19:00
22969,HOMEMADE JAM SCENTED CANDLES,1.45,15087,22459.25,709,2010-11-21 11:28:00,2011-12-09 10:03:00
22632,HAND WARMER RED RETROSPOT,2.1,11190,22384.870000000003,779,2010-09-20 15:33:00,2011-12-09 10:26:00
84970S,HANGING HEART ZINC T-LIGHT HOLDER,0.85,26844,22132.18,1425,2009-12-01 09:08:00,2011-12-09 10:03:00
85014A,BLACK/BLUE POLKADOT UMBRELLA,5.95,4665,22054.25,684,2009-12-01 09:28:00,2011-12-06 12:38:00
21210,SET OF 72 RETROSPOT PAPER  DOILIES,1.45,15249,21957.26,1161,2009-12-01 12:52:00,2011-12-08 15:54:00
22499,WOODEN UNION JACK BUNTING,5.95,3597,21910.640000000003,774,2010-02-02 12:03:00,2011-12-07 10:35:00
22456,NATURAL SLATE CHALKBOARD LARGE,4.95,4462,21883.98,835,2010-03-04 10:29:00,2011-12-09 10:26:00
23202,JUMBO BAG VINTAGE LEAF,2.08,10962,21852.81,879,2011-05-06 15:40:00,2011-12-09 10:03:00
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,7.95,2755,21826.9,517,2009-12-01 07:45:00,2011-12-09 10:26:00
21213,PACK OF 72 SKULL CAKE CASES,0.55,40733,21734.850000000002,1481,2009-12-01 13:43:00,2011-12-09 10:03:00
22570,FELTCRAFT CUSHION RABBIT,3.75,5805,21579.79,807,2010-03-10 09:30:00,2011-11-18 14:14:00
23209,LUNCH BAG VINTAGE DOILY,1.65,13189,21450.17,1098,2011-05-08 11:08:00,2011-12-08 17:54:00
22424,ENAMEL BREAD BIN CREAM,12.75,1560,21305.96,739,2010-05-16 11:35:00,2011-12-09 10:26:00
22356,CHARLOTTE BAG PINK POLKADOT,0.85,20237,21252.44,1584,2009-12-01 10:06:00,2011-12-09 10:23:00
22294,HEART FILIGREE DOVE  SMALL,1.25,17127,21217.02,861,2009-12-01 10:06:00,2011-12-08 16:30:00
22617,BAKING SET SPACEBOY DESIGN,4.95,4389,21162.89,942,2010-03-14 16:18:00,2011-12-09 09:38:00
21218,RED SPOTTY BISCUIT TIN,3.75,5305,21102.06,897,2009-12-01 13:41:00,2011-12-09 10:26:00
22568,FELTCRAFT CUSHION OWL,3.75,5692,21056.5,875,2010-03-10 09:30:00,2011-12-07 13:46:00
22569,FELTCRAFT CUSHION BUTTERFLY,3.75,5731,20924.96,784,2010-03-10 09:30:00,2011-10-25 09:31:00
23206,LUNCH BAG APPLE DESIGN,1.65,12183,20911.98,1036,2011-04-11 16:47:00,2011-12-09 10:23:00
48116,DOORMAT MULTICOLOUR STRIPE,7.49,3461,20803.16,496,2009-12-01 14:14:00,2011-12-08 13:26:00
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,2.55,8341,20683.92,1221,2009-12-01 12:32:00,2011-12-09 10:13:00
20723,STRAWBERRY CHARLOTTE BAG,0.85,18485,20677.62,1379,2009-12-01 16:18:00,2011-12-09 10:23:00
85150,LADIES & GENTLEMEN METAL SIGN,2.55,8519,20668.23,1110,2009-12-01 09:50:00,2011-12-09 10:26:00
22900,SET 2 TEA TOWELS I LOVE LONDON,3.25,6377,20544.21,723,2010-09-24 16:06:00,2011-12-09 10:26:00
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",4.95,3949,20528.58,802,2009-12-01 13:41:00,2011-12-09 10:26:00
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,1.25,17899,20499.08,350,2010-08-05 15:01:00,2011-12-09 10:03:00
22273,FELTCRAFT DOLL MOLLY,2.95,7413,20345.77,810,2009-12-01 10:46:00,2011-12-09 10:03:00
21622,VINTAGE UNION JACK CUSHION COVER,4.95,3745,20164.64,626,2009-12-01 12:47:00,2011-12-07 14:12:00
22558,CLOTHES PEGS RETROSPOT PACK 24,1.49,14281,20163.07,1202,2010-04-14 13:39:00,2011-12-09 10:03:00
22381,TOY TIDY PINK POLKADOT,2.1,9449,19974.77,1100,2010-01-24 13:46:00,2011-12-09 10:26:00
22413,METAL SIGN TAKE IT OR LEAVE IT,2.95,7048,19970.24,881,2010-01-29 13:52:00,2011-12-08 13:47:00
22169,FAMILY ALBUM WHITE PICTURE FRAME,8.5,2326,19956.3,701,2009-12-01 12:30:00,2011-12-08 16:30:00
